CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Spend,No_spend,Num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
True,27.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3862944,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,19.0,False,0.0,2.302585092994046,0.0,7.945909598613133,0.0,7.949091499830517,0,1.609438,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
True,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
False,38.0,False,0.0,8.802823159741887,0.0,5.204006687076795,6.373319789577012,8.911799556189527,0,0.6931472,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
False,20.0,False,2.3978952727983707,0.0,6.455198563340122,0.0,0.0,6.470799503782602,0,1.7917595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,31.0,False,0.0,7.38770923908104,5.575949103146316,4.736198448394496,4.110873864173311,7.62657020629066,0,2.0794415,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
True,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0986123,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
True,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
True,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
False,24.0,False,0.0,6.461468176353717,0.0,0.0,0.0,6.461468176353717,0,2.0794415,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
False,19.0,False,5.8289456176102075,1.3862943611198906,4.919980925828125,5.472270673671475,0.0,6.573680166960646,0,2.3025851,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,45.0,False,6.838405200847344,4.31748811353631,0.0,2.0794415416798357,6.918695219020472,7.6128310304073565,0,1.0986123,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
False,44.0,False,0.0,7.3537223303996315,0.0,2.70805020110221,5.41610040220442,7.495541943884256,0,1.0986123,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
True,46.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
False,21.0,False,0.0,0.0,0.0,7.431299675155903,4.532599493153256,7.484368643286131,0,1.609438,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
False,27.0,False,0.0,0.0,0.0,6.806829360392176,0.0,6.806829360392176,0,2.4849067,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
False,20.0,False,1.0986122886681098,2.5649493574615367,5.537334267018537,6.126869184114185,6.53813982376767,7.254884810077338,0,2.4849067,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
True,44.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
False,29.0,False,0.0,8.950143756459262,5.497168225293202,6.345636360828596,5.840641657373398,9.089753408987065,0,6.4153895,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,40.0,False,3.295836866004329,7.563200592358071,2.1972245773362196,8.05356916913454,4.1588830833596715,8.550047528287184,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
False,30.0,False,0.0,6.778784897685177,3.295836866004329,1.3862943611198906,0.0,6.811244378601294,0,1.7917595,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,14.0,False,0.0,0.0,0.0,7.383989457978509,0.0,7.383989457978509,0,0.6931472,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
True,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,1.609438,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
False,27.0,False,0.0,8.85051762174672,0.0,1.6094379124341003,7.119635638017636,9.013960457931187,0,1.609438,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
False,66.0,False,3.6888794541139363,8.77230041793584,0.0,7.251344983372214,5.049856007249537,8.994172434398399,0,1.609438,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
False,24.0,False,7.487173694213739,2.1972245773362196,2.9444389791664403,2.9444389791664403,0.0,7.511524648390866,0,1.7917595,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
False,19.0,False,5.683579767338681,8.159374736775426,8.570544366913232,4.77912349311153,6.0473721790462776,9.169726689090886,0,0.6931472,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
